CAMIS,DBA,ZIPCODE,CUISINE_DESCRIPTION,INSPECTION_DATE,SCORE,Latitude,Longitude,GRADE
41449659,POPEYES,11234,Chicken,3/28/2022,8,40.63351647,-73.92908865,A
41449878,CHRIS CARIBBEAN & AMERICAN RESTAURANT,11216,Caribbean,3/31/2022,0,40.67620604,-73.94989178,A
41449878,CHRIS CARIBBEAN & AMERICAN RESTAURANT,11216,Caribbean,6/17/2022,0,40.67620604,-73.94989178,A
41449961,PENN SUSHI,10121,Japanese,8/30/2021,5,40.75005923,-73.99210672,A
41449961,PENN SUSHI,10121,Japanese,10/18/2022,57,40.75005923,-73.99210672,C
41450097,NU HOTEL,11201,American,4/25/2022,0,40.68880949,-73.98901658,A
41450143,GATO VERDE SPORTS BAR,11372,American,7/22/2021,22,40.74764282,-73.883702,B
41450143,GATO VERDE SPORTS BAR,11372,American,1/31/2022,13,40.74764282,-73.883702,A
41450361,FREDA'S,10025,Caribbean,5/16/2022,31,40.80097102,-73.9615869,C
41450589,LA PERLA DEL ULUA RESTAURANT,11237,Spanish,4/14/2022,23,40.70368331,-73.9280255,B
41450604,BAGELS & CO,11366,Jewish/Kosher,1/3/2022,24,40.72923728,-73.78100573,B
41450604,BAGELS & CO,11366,Jewish/Kosher,3/11/2022,37,40.72923728,-73.78100573,C
41450604,BAGELS & CO,11366,Jewish/Kosher,8/25/2022,19,40.72923728,-73.78100573,B
41450623,MCDONALD'S,11225,Hamburgers,7/31/2021,2,40.66332885,-73.96022829,A
41450623,MCDONALD'S,11225,Hamburgers,7/15/2022,7,40.66332885,-73.96022829,A
41450629,MCDONALD'S,11213,Hamburgers,8/11/2021,12,40.66876582,-73.93051457,A
41451015,PRIVILEGE LOUNGE,11206,American,8/20/2021,10,40.70623614,-73.9430162,A
41451183,L'AROMA DELI CAFE,11385,Coffee/Tea,4/13/2022,31,40.71204965,-73.90569921,C
41451247,THE LONG ROOM,10036,Irish,4/18/2022,4,40.75645368,-73.98395204,A
41451271,PITKIN SEAFOOD,11212,Seafood,1/5/2022,73,40.6695542,-73.91152362,C
41451271,PITKIN SEAFOOD,11212,Seafood,1/11/2022,9,40.6695542,-73.91152362,A
41451698,LUCY'S CANTINA ROYALE,10119,Mexican,4/25/2022,14,40.75109132,-73.9929259,B
41451863,LUCKY STAR RESTAURANT,11372,Chinese,6/7/2022,12,40.75372924,-73.87201498,A
41451984,FAITHY'S KITCHEN,10466,Caribbean,5/12/2022,32,40.88943997,-73.8312773,C
41451984,FAITHY'S KITCHEN,10466,Caribbean,6/16/2022,22,40.88943997,-73.8312773,B
41451985,BRANCACCIO'S FOOD SHOP,11218,Sandwiches,4/29/2022,3,40.64839391,-73.97856904,A
41452373,PEACHES HOTHOUSE,11216,Soul Food,4/22/2022,0,40.68328752,-73.9438904,A
41452462,CRYSTAL,10022,Japanese,8/25/2021,5,40.75684045,-73.96932606,A
41452504,NIGHT°,11220,Bottled Beverages,4/15/2022,12,40.63668332,-74.01188638,A
41452652,CRAVE,11103,Greek,6/2/2022,13,40.76630268,-73.91632955,A
41452725,TASTE OF GEORGIA,11229,Eastern European,4/26/2022,45,40.60973251,-73.9555459,C
41453151,SUPER 403 CHINESE RESTAURANT,11218,Chinese,7/14/2022,22,40.64408144,-73.97639396,B
41453205,THE GREY DOG,10011,American,4/5/2022,13,40.74040618,-73.99999639,A
41453281,DEVON AND BLAKELY,10281,American,5/19/2022,2,40.71141766,-74.01544191,A
41453317,DUNKIN,11103,Donuts,4/5/2022,9,40.75767582,-73.92005832,A
41453331,BEST WESTERN HOTEL HOSPITALITY HOUSE,10017,American,5/18/2022,21,40.7556335,-73.9722503,B
41453428,SPOT,10003,Bakery Products/Desserts,4/21/2022,12,40.72918506,-73.98904237,A
41453811,THE POINT CAFE & GRILL,10474,Sandwiches,9/3/2021,10,40.80959439,-73.88071784,A
41453878,BISTRO VENDOME,10022,French,6/14/2022,29,40.75881175,-73.96202642,C
41453954,CHIPOTLE MEXICAN GRILL,10011,Tex-Mex,3/30/2022,4,40.74190756,-74.00096353,A
41453957,CHIPOTLE MEXICAN GRILL,10003,Tex-Mex,1/12/2022,12,40.73407348,-73.98903074,A
41453983,CHIPOTLE MEXICAN GRILL,10018,Tex-Mex,1/5/2022,12,40.75297668,-73.98916477,A
41454233,TASTY BITES,11213,Caribbean,8/5/2021,30,40.67052503,-73.93020271,C
41454233,TASTY BITES,11213,Caribbean,9/3/2021,8,40.67052503,-73.93020271,A
41454233,TASTY BITES,11213,Caribbean,4/25/2022,30,40.67052503,-73.93020271,C
41454244,COSTA VERDE,11373,Peruvian,8/1/2022,27,40.74230268,-73.86948201,B
41454384,K TOWN POHCA,10001,Korean,6/14/2022,12,40.74781906,-73.98710123,A
41454419,JEUN JU KOREAN RESTAURANT,11354,Korean,3/23/2022,33,40.76338052,-73.81428112,C
41454471,ASIAN JEWELS SEAFOOD RESTAURANT,11354,Chinese,11/30/2021,12,40.75909345,-73.83415718,A
41454667,CHECKERS,11207,Hamburgers,4/18/2022,12,40.68527314,-73.91461437,A
41454767,OLD FULTON RESTAURANT,11201,Italian,4/21/2022,13,40.70277252,-73.99409598,A
41454810,GRAZIELLA PIZZERIA,11358,Pizza,5/24/2022,11,40.76675876,-73.79007318,A
41454948,KING WOK,11365,Chinese,7/20/2021,23,40.73968675,-73.78987012,B
41454948,KING WOK,11365,Chinese,1/27/2022,12,40.73968675,-73.78987012,A
41454953,GOLDEN CHOPSTICKS CHINESE RESTAURANT,11238,Chinese,4/14/2022,7,40.67194373,-73.9574942,A
41455044,MR. BIGGS BAR AND GRILL,10036,American,4/18/2022,13,40.76038518,-73.99490305,A
41455068,OVEST PIZZOTECA,10001,Pizza,5/19/2022,43,40.7506386,-74.00334574,C
41455068,OVEST PIZZOTECA,10001,Pizza,6/14/2022,42,40.7506386,-74.00334574,C
41455224,MANOR OKTOBERFEST FOREST HILLS,11375,German,7/22/2022,9,40.71766174,-73.85700909,A
41455359,A.CAFE,10019,Coffee/Tea,4/29/2022,11,40.76435427,-73.97518876,A
41455844,BAKERY DE PARIS,11358,Coffee/Tea,7/30/2021,12,40.75966634,-73.80406882,A
41455844,BAKERY DE PARIS,11358,Coffee/Tea,10/6/2022,7,40.75966634,-73.80406882,A
41455865,FRANHILL DELI,11423,Sandwiches,4/29/2022,13,40.72041115,-73.76092258,A
41456053,LA ABUNDANCIA BAKERY AND RESTAURAN,11372,Latin American,3/14/2022,13,40.74694395,-73.89034381,A
41456225,PREVITI PIZZA,10017,Pizza,4/27/2022,2,40.75091904,-73.976919,A
41456436,MARINA BIZCOCHOS,11373,Bakery Products/Desserts,12/29/2021,16,40.74238131,-73.87105167,B
