CAMIS,ZIPCODE,INSPECTION_DATE,SCORE,GRADE
50077219,10013,1/28/2020,17,B
50006275,10013,3/24/2022,6,A
41546465,10024,1/31/2022,13,A
50008732,11106,8/22/2022,59,C
50042404,11372,5/3/2022,32,C
50060054,11234,7/20/2021,14,B
50101173,11215,6/6/2022,48,C
41254998,10453,11/25/2019,11,A
41396673,10451,9/18/2018,5,A
41180600,11368,4/18/2022,18,B
50120938,10028,9/30/2022,42,C
50019095,11222,9/30/2022,39,C
50086955,11219,10/19/2022,28,C
50072379,11222,5/26/2022,13,A
41689789,11207,4/18/2022,48,C
50085906,10003,2/27/2020,7,A
50006537,11201,8/30/2021,11,A
50012264,11222,1/11/2020,9,A
50080692,10025,6/7/2022,10,A
41678430,11103,9/13/2019,10,A
50059787,11372,8/25/2021,9,A
50088628,10003,2/28/2020,65,C
50080882,10022,2/15/2022,21,B
50110138,10459,5/31/2022,12,A
40399422,11357,8/19/2021,9,A
50072534,10128,5/2/2022,11,A
50066319,11102,1/18/2022,29,C
50012834,10022,2/13/2020,12,A
50098705,10018,11/22/2019,13,A
41677328,11226,2/18/2020,12,A
50072413,11355,6/19/2019,40,C
50117158,10458,12/1/2021,27,B
41269825,10011,6/18/2019,21,B
50005543,10032,5/21/2019,18,B
41649614,11201,1/14/2022,2,A
41395978,11103,1/27/2020,7,A
50117431,10453,9/29/2022,22,B
40872794,11211,1/11/2022,16,B
50004099,10305,7/22/2019,11,A
50109859,11221,7/26/2021,14,B
50056743,11237,10/8/2019,33,C
41530056,11375,4/26/2022,11,A
50094357,11236,5/13/2022,11,A
50111711,11229,6/15/2022,12,A
41557377,10021,4/2/2019,16,B
41666300,11213,12/3/2021,19,B
50047825,10001,8/27/2018,33,C
50096039,11217,9/22/2022,36,C
41337205,10011,9/25/2019,43,C
50107111,11104,7/1/2022,12,A
50060008,10021,1/7/2020,15,B
41488494,10040,2/10/2020,9,A
50078096,11220,7/6/2022,37,C
41355345,10022,9/27/2022,10,A
50050958,10003,12/27/2017,33,C
41574355,11101,2/8/2019,36,C
50115349,11432,2/2/2022,0,A
40625198,11430,4/27/2016,5,A
41067225,11693,2/5/2020,15,B
50057589,11354,12/13/2021,21,B
41337181,11201,1/17/2020,12,A
50066300,11205,2/26/2020,13,A
50106619,10065,5/24/2022,13,A
41327489,10005,7/21/2017,13,A
41067651,10010,11/10/2018,11,A
50066372,10465,7/31/2017,21,B
50105766,10036,2/23/2022,12,A
50102554,11354,12/21/2021,2,A
41268058,10038,2/26/2020,25,B
41021766,10461,9/25/2019,21,B
50056201,11361,5/18/2019,50,C
50012841,11222,11/19/2019,56,C
50072336,10460,9/20/2019,31,C
50083916,11378,6/20/2019,9,A
50081800,11372,2/20/2020,30,C
40786914,10302,1/17/2020,23,B
50114226,11419,11/30/2021,11,A
50066881,10017,8/29/2019,23,B
50044140,10023,5/16/2019,46,C
50073806,10033,11/6/2019,13,A
50055124,10036,2/3/2022,8,A
50105705,10012,8/25/2022,48,C
50075195,11106,4/1/2019,7,A
50086412,11215,1/29/2019,21,B
50056552,10009,1/3/2020,23,B
41241298,11217,8/18/2021,35,C
50094225,11226,9/16/2019,30,C
50093319,11102,4/27/2022,11,A
41317579,10003,3/11/2020,2,A
50092607,10456,2/3/2020,31,C
50016323,11237,4/20/2022,34,C
50044591,10018,12/12/2018,26,B
50091848,11355,6/25/2019,9,A
50100541,11211,12/16/2021,9,A
41692932,10017,5/6/2022,0,A
50010326,11377,8/24/2021,12,A
41685596,11249,2/20/2020,43,C
50097123,10453,6/23/2022,13,A
50015241,11378,5/25/2022,31,C
50038052,10024,2/1/2022,12,A
50081562,11434,8/12/2022,33,C
50117066,10001,4/11/2022,24,B
50094991,10001,7/17/2019,12,A
40396037,10022,11/18/2019,32,C
40724274,10017,12/19/2019,12,A
50068183,10016,7/3/2019,27,B
40972083,11411,7/26/2021,26,B
50119909,10023,8/9/2022,31,C
40794835,11420,12/11/2019,12,A
40424247,11365,4/24/2019,12,A
50114532,11214,10/25/2022,13,A
41541736,10013,3/21/2019,13,A
50070309,11201,9/8/2021,19,B
40402369,10065,4/5/2019,24,B
50087329,10003,5/31/2022,13,A
50094947,11230,8/30/2022,9,A
50040804,10012,1/26/2022,9,A
50053703,10463,8/11/2021,57,C
50004877,11215,8/31/2022,8,A
40366711,10310,10/13/2022,22,B
50105369,10009,6/8/2022,37,C
50091302,10002,6/15/2022,19,B
50051434,11218,4/10/2019,20,B
50094543,11232,6/7/2022,85,C
50007837,10458,5/16/2022,13,A
50111210,11364,10/13/2022,28,C
50117979,11216,6/3/2022,7,A
41523650,10036,2/14/2020,5,A
50064120,11220,2/23/2022,33,C
50043127,11201,9/8/2021,9,A
50088036,10036,3/28/2019,24,B
50045255,10002,12/2/2019,19,B
50066987,11432,7/26/2019,38,C
40861141,10457,9/30/2022,40,C
50123877,11204,9/21/2022,33,C
50104057,11226,10/24/2022,36,C
40996365,10010,4/24/2019,13,A
41448559,10014,9/5/2019,10,A
50119415,11101,5/9/2022,11,A
41486399,10025,9/5/2019,21,B
50012210,11238,2/26/2020,26,B
40388386,11201,7/28/2021,19,B
40370436,10016,8/1/2019,19,B
50098290,10011,7/6/2022,53,C
50093943,10002,12/20/2019,22,B
50103190,10456,8/10/2022,17,B
40799384,10003,4/19/2022,12,A
50077934,11365,6/21/2019,11,A
50104231,10012,2/22/2022,13,A
40373113,10019,1/31/2020,11,A
41635173,10011,7/28/2017,16,B
50071182,10304,12/15/2019,8,A
41704021,11238,2/15/2019,23,B
50087281,10025,11/6/2019,31,C
50062979,10472,10/31/2019,19,B
50100265,10022,10/13/2022,22,B
50012258,10003,10/4/2022,2,A
50072895,11234,8/3/2022,47,C
41171542,10467,9/13/2019,9,A
40716007,10471,3/21/2019,26,B
50004839,11211,5/26/2022,142,C
50001901,10128,5/9/2019,12,A
50123969,10040,8/8/2022,60,C
50105311,10038,9/21/2021,34,C
50119975,10458,4/18/2022,19,B
50043739,11211,8/5/2019,22,B
41365100,10025,3/17/2022,26,B
41414572,10033,8/11/2022,30,C
50049403,11205,6/10/2019,7,A
50060130,10004,8/1/2019,13,A
41271290,10462,12/6/2019,10,A
50114532,11214,8/30/2021,7,A
50038633,10013,5/19/2022,60,C
50090960,11226,4/8/2022,10,A
50116511,11354,5/31/2022,10,A
50106142,11373,8/17/2022,25,B
50118938,11234,3/11/2022,31,C
41420952,11372,3/31/2022,25,B
50067153,11433,3/26/2019,10,A
50080230,10024,1/30/2020,42,C
50085259,10013,5/4/2019,27,B
41694389,10007,11/13/2019,20,B
50118380,10009,10/19/2022,28,C
40376944,10012,2/13/2020,27,B
50018286,10013,11/29/2019,13,A
40566335,10011,12/10/2018,28,C
40399329,10003,12/1/2017,2,A
50002583,10028,5/29/2019,22,B
50104750,11421,8/10/2021,46,C
41313395,10036,9/16/2019,11,A
50125749,10009,8/18/2022,31,C
41698598,10455,4/19/2019,37,C
50070952,11373,11/7/2019,12,A
50088062,11419,9/9/2021,9,A
50117069,11373,7/25/2022,30,C
50097060,11377,12/3/2019,16,B
50082478,11203,5/11/2022,0,A
50066505,11105,8/9/2019,10,A
41548756,11204,9/19/2019,69,C
41668701,10028,4/27/2022,37,C
41695440,11220,2/14/2020,16,B
40373500,10019,2/16/2022,9,A
50070439,10460,11/14/2019,23,B
40592811,11209,12/19/2019,5,A
50005201,11238,3/3/2020,9,A
50047230,10036,10/2/2019,4,A
41330366,11210,2/25/2020,31,C
50051608,11234,8/29/2022,2,A
50013555,10031,12/19/2016,41,C
50079626,11214,7/13/2022,30,C
50076141,10308,5/16/2018,11,A
50062747,11214,4/4/2022,5,A
50086462,11435,8/8/2019,18,B
40787990,10027,11/6/2019,11,A
50067555,11368,1/20/2022,27,B
40392724,10016,2/16/2022,32,C
50075859,10036,9/20/2018,11,A
50042767,11432,10/8/2019,7,A
40738177,11368,5/23/2022,38,C
41530529,11211,5/2/2019,9,A
50105471,11211,10/11/2022,23,B
50089789,10002,9/5/2019,12,A
50086679,11201,8/28/2019,11,A
50108411,11361,1/4/2022,46,C
40395110,11414,2/19/2020,25,B
40521343,10310,1/27/2020,7,A
50005390,10031,11/21/2019,24,B
50055609,10027,10/16/2019,11,A
50055438,11374,2/16/2019,22,B
50062666,10454,8/14/2019,27,B
41710788,11354,10/24/2017,12,A
50036587,10010,8/18/2022,42,C
50068508,11372,5/10/2022,5,A
50034652,11215,4/15/2019,13,A
50071274,10024,3/6/2020,21,B
50073591,11233,5/27/2022,36,C
50078490,11106,3/9/2022,13,A
50080597,10011,3/5/2020,45,C
50014212,11106,12/5/2018,10,A
41557716,10024,8/6/2019,27,B
50106212,10003,10/25/2022,68,C
50073403,11432,12/19/2018,12,A
