CAMIS,Image
40808118,Rats
50002028,Flies
50010991,Temperature
50111042,Contamination
50091677,Contamination
50002070,Contamination
50080209,Contamination
50109052,Sanitation
50012006,Contamination
41568372,Contamination
40850087,Rats
50000460,Temperature
50117605,Contamination
50072638,Flies
50061530,Quality
50043311,Rats
50070863,Contamination
50079549,Contamination
40729819,Temperature
41658866,Contamination
50099840,Contamination
50070551,Contamination
50018213,Contamination
50009907,Contamination
40385161,Contamination
50105869,Contamination
50116770,Contamination
50060495,Flies
50087614,Rats
50046863,Contamination
50033511,Contamination
50005405,Contamination
41402733,Contamination
50101200,Contamination
50106797,Rats
50059304,Contamination
50002325,Rats
50012613,Quality
41434693,Contamination
50043205,Sanitation
41647129,Contamination
50076682,Temperature
40369461,Contamination
50098817,Rats
50092177,Temperature
50066881,Sanitation
50094900,Rats
40364347,Roach
41227024,Rats
41012907,Contamination
50017185,Temperature
50067501,Contamination
50005981,Rats
50079182,Temperature
50093499,Contamination
50109380,Roach
50072133,Contamination
41658464,Contamination
41079206,Temperature
50073372,Flies
40566617,Contamination
41531476,Quality
50114913,Temperature
50062563,Quality
50047152,Sanitation
50102366,Rats
40959649,Contamination
41601438,Rats
41390998,Temperature
40369849,Rats
50071604,Rats
41530089,Flies
50059563,Rats
50059651,Temperature
50083590,Temperature
50059280,Contamination
50058670,Sanitation
50121468,Contamination
40372445,Contamination
41668500,Contamination
41593541,Sanitation
41601438,Contamination
50075519,Quality
41334633,Contamination
50081419,Contamination
50106749,Rats
50104840,Contamination
50059891,Contamination
50078726,Contamination
41471899,Rats
40400539,Contamination
50066109,Rats
41110390,Contamination
50094762,Contamination
50109928,Quality
50015136,Sanitation
41689402,Quality
40365075,Contamination
50053225,Contamination
50001172,Rats
41554963,Sanitation
50051745,Rats
50110563,Sanitation
41453151,Rats
50053825,Sanitation
41252384,Temperature
40396892,Contamination
50082140,Temperature
50081684,Roach
41139432,Temperature
41406255,Rats
41546956,Temperature
50049573,Rats
50006265,Contamination
50062979,Rats
50120457,Temperature
50039585,Contamination
50017619,Temperature
50001778,Temperature
50074057,Sanitation
50086652,Rats
40945190,Contamination
41666477,Rats
50011722,Rats
50094562,Contamination
41693594,Quality
40362274,Rats
40996589,Contamination
41137336,Contamination
50091404,Temperature
40364220,Others
50093727,Contamination
50115306,Contamination
41698701,Contamination
50004563,Temperature
41640858,Flies
50066387,Quality
40692073,Contamination
50095160,Contamination
41215420,Rats
40855909,Contamination
50047752,Contamination
41704440,Rats
41231634,Rats
41722495,Contamination
50086623,Contamination
41661367,Contamination
50040446,Others
50082400,Contamination
50104876,Rats
50072204,Temperature
41704437,Temperature
40399751,Contamination
50083465,Contamination
50119838,Temperature
50076472,Sanitation
50034105,Temperature
41679966,Rats
50061387,Contamination
41017770,Temperature
41689402,Contamination
50102156,Contamination
50084407,Rats
41708930,Temperature
40373937,Rats
50073498,Contamination
50117069,Quality
50032620,Contamination
50067555,Contamination
50015469,Contamination
50105428,Contamination
40794103,Contamination
50043234,Flies
50103428,Temperature
40894838,Contamination
50121410,Temperature
50016536,Contamination
50103023,Temperature
50060597,Rats
50010032,Rats
50082264,Sanitation
50058992,Contamination
40393154,Contamination
50101475,Contamination
50113153,Temperature
50060781,Contamination
41649130,Temperature
41327047,Temperature
41225392,Rats
50095235,Contamination
50082152,Others
40656356,Contamination
40633995,Contamination
41601321,Flies
50001587,Rats
50073669,Quality
50101178,Temperature
50111171,Quality
50093796,Rats
50070663,Contamination
50095112,Rats
50003914,Contamination
41429187,Rats
50057977,Contamination
41532039,Sanitation
50106390,Contamination
41637468,Rats
41636558,Temperature
50089761,Quality
50005347,Rats
50081796,Quality
50000290,Contamination
41195691,Rats
41381714,Contamination
41486145,Contamination
41021766,Contamination
41236258,Contamination
50055022,Rats
41587378,Contamination
41580756,Contamination
41385384,Flies
40729296,Contamination
50098436,Temperature
41377952,Rats
50083590,Contamination
50015241,Temperature
50095564,Contamination
50042302,Contamination
41415808,Rats
50004681,Contamination
41096631,Contamination
50038353,Contamination
50097937,Flies
50019203,Contamination
50107398,Rats
50052824,Contamination
50076831,Contamination
41521360,Temperature
50043665,Contamination
41406303,Contamination
40364572,Rats
41671751,Temperature
50056830,Rats
41177892,Rats
50101593,Contamination
41653101,Temperature
41236257,Flies
50109712,Contamination
50013794,Contamination
41639191,Temperature
50042783,Contamination
41719126,Rats
41601438,Temperature
50056591,Rats
50083966,Quality
50122439,Quality
50088607,Contamination
50102001,Contamination
50079892,Contamination
50119170,Contamination
50095160,Rats
50074009,Contamination
50040886,Rats
41590515,Temperature
41376760,Contamination
50077271,Sanitation
50110649,Rats
50096140,Contamination
50011572,Contamination
50087605,Contamination
50082789,Sanitation
50014447,Flies
40367189,Contamination
50099465,Sanitation
41411808,Contamination
41090127,Contamination
50054666,Temperature
50092838,Rats
50095998,Contamination
41028194,Rats
41468132,Temperature
50018734,Contamination
50006109,Rats
41568894,Sanitation
40388818,Temperature
50063046,Temperature
41008413,Temperature
41029337,Contamination
41382526,Rats
40698410,Contamination
41614537,Contamination
50034105,Contamination
40783748,Contamination
50035292,Contamination
41524567,Temperature
40377243,Flies
50073737,Contamination
50074398,Sanitation
40552366,Temperature
40602855,Contamination
41436874,Contamination
50107192,Contamination
41700054,Contamination
50001212,Rats
50094543,Flies
50002398,Contamination
50033076,Temperature
50095340,Rats
50015136,Contamination
41244516,Temperature
50097276,Contamination
50003435,Rats
50056825,Contamination
40941224,Quality
50093641,Sanitation
50095867,Sanitation
40974392,Sanitation
40364858,Contamination
41662786,Contamination
40395310,Sanitation
41319055,Contamination
50071419,Contamination
50086945,Rats
41649038,Contamination
41204031,Contamination
40572960,Rats
50122053,Sanitation
50010699,Temperature
50100159,Contamination
50107622,Contamination
50067909,Contamination
41395526,Contamination
50035973,Rats
50058134,Contamination
40680918,Sanitation
40918997,Flies
50080214,Contamination
50016943,Contamination
50000348,Contamination
50017990,Temperature
50104869,Contamination
41661367,Rats
40835721,Contamination
41624530,Rats
50082933,Contamination
50103852,Contamination
50093185,Flies
50087224,Rats
50043895,Temperature
50069167,Temperature
40524837,Temperature
50090647,Rats
41522258,Contamination
50074557,Contamination
50008353,Sanitation
41631435,Rats
41074013,Contamination
50083799,Sanitation
50100469,Contamination
41386156,Contamination
50070443,Contamination
50070493,Temperature
50067926,Rats
41008857,Rats
50106054,Contamination
50094527,Contamination
50018662,Rats
41699605,Contamination
41145911,Temperature
41467165,Rats
50034508,Quality
50079799,Contamination
50101082,Contamination
50089761,Contamination
41324916,Rats
41242701,Rats
50114708,Contamination
50076477,Contamination
50070734,Contamination
50097986,Contamination
50042946,Contamination
50099026,Temperature
41204508,Contamination
50128158,Sanitation
41189848,Rats
50113085,Contamination
50069252,Rats
50085870,Contamination
50106587,Sanitation
50060865,Temperature
50065412,Quality
50122288,Contamination
40424410,Contamination
41373803,Contamination
41241802,Contamination
50107913,Rats
41378862,Quality
41541587,Contamination
50084991,Flies
41620607,Temperature
50112918,Rats
40367534,Contamination
50096822,Contamination
50068189,Contamination
50081711,Contamination
41300025,Flies
50005059,Contamination
50104071,Sanitation
40367038,Contamination
50077010,Temperature
50001842,Rats
50090295,Contamination
41629692,Contamination
40622348,Flies
41532937,Contamination
50071608,Rats
50060687,Flies
50046207,Contamination
50071215,Contamination
41569116,Contamination
50016637,Contamination
41654555,Contamination
50075917,Contamination
40394028,Contamination
50015659,Rats
41701806,Contamination
50001911,Contamination
41460032,Rats
50018556,Contamination
50086972,Quality
50108942,Temperature
50068854,Temperature
50106279,Rats
41557716,Contamination
40362432,Contamination
50113187,Contamination
50117956,Rats
50094519,Contamination
50104731,Temperature
50064708,Temperature
50071494,Rats
50108572,Quality
40568591,Contamination
50047650,Rats
50089423,Temperature
50092932,Rats
50074799,Rats
50099050,Rats
41019523,Contamination
41431046,Flies
50005991,Contamination
50088523,Contamination
41334625,Rats
50057059,Contamination
50074377,Temperature
50061293,Contamination
40394518,Temperature
40804049,Contamination
41218452,Sanitation
50059972,Contamination
50011935,Contamination
41627484,Rats
50033981,Temperature
41250498,Rats
50038914,Sanitation
50107833,Contamination
50056417,Contamination
40570910,Temperature
50117755,Contamination
50080406,Rats
41671851,Flies
50095340,Rats
50111304,Sanitation
50054114,Temperature
50067743,Contamination
40402610,Contamination
50037764,Others
50079958,Sanitation
41268295,Contamination
40739276,Contamination
50062821,Contamination
50063010,Contamination
40610000,Contamination
50110912,Rats
50094792,Rats
40998924,Contamination
50118694,Contamination
41680367,Contamination
50119909,Rats
50046783,Roach
41130849,Temperature
41286916,Temperature
50065187,Temperature
41427680,Rats
40393378,Temperature
50055215,Contamination
41299756,Contamination
50080573,Contamination
50035849,Contamination
50008310,Rats
50087867,Rats
40400610,Contamination
50111235,Contamination
41456436,Contamination
50038206,Temperature
50060858,Rats
40380657,Contamination
50071607,Roach
41310201,Rats
40510439,Temperature
50013883,Contamination
50003035,Contamination
50099792,Contamination
41664289,Contamination
40402266,Flies
40672603,Rats
50092368,Contamination
41308685,Contamination
41528104,Sanitation
50102576,Rats
40402222,Contamination
50040937,Contamination
50118063,Temperature
50090514,Rats
41163622,Rats
50015549,Sanitation
40991804,Temperature
41383631,Temperature
50121750,Temperature
50018035,Contamination
50088413,Rats
50051756,Contamination
40387825,Contamination
50114075,Rats
41073604,Contamination
40815605,Contamination
41710693,Temperature
50093978,Contamination
50058989,Contamination
50105209,Contamination
50123586,Temperature
41601438,Sanitation
50082137,Flies
41421560,Rats
50005693,Rats
50089476,Sanitation
50085663,Sanitation
41454419,Others
50008039,Temperature
50048576,Contamination
50050304,Contamination
40377325,Rats
41720257,Quality
50059059,Others
40365546,Temperature
41106681,Contamination
50100495,Contamination
50075928,Contamination
50101723,Contamination
41696014,Contamination
50017776,Sanitation
50073635,Contamination
41298880,Contamination
50090865,Rats
50119799,Temperature
50113399,Rats
50083338,Temperature
50066944,Rats
50093661,Contamination
50043664,Flies
50039497,Contamination
40854101,Contamination
50105683,Contamination
50117866,Sanitation
41708001,Contamination
40781520,Contamination
50060781,Contamination
50066689,Temperature
41246655,Contamination
50049736,Contamination
50106822,Contamination
41020005,Quality
50102436,Temperature
50072329,Contamination
50080342,Contamination
50093768,Rats
50108681,Quality
41559082,Contamination
50012812,Flies
41250498,Contamination
41451984,Rats
50090686,Temperature
50001397,Rats
50098810,Contamination
41548238,Contamination
41265425,Rats
50046244,Contamination
50094596,Rats
50003494,Sanitation
50075726,Rats
50084630,Temperature
50040467,Contamination
40809390,Rats
50080258,Rats
50069187,Temperature
50077890,Contamination
40926214,Contamination
50108193,Contamination
50111102,Contamination
41101900,Contamination
50097740,Contamination
50108289,Rats
50052463,Rats
50057380,Contamination
41012973,Contamination
50103780,Sanitation
50085872,Contamination
50102673,Rats
50088644,Contamination
50065324,Rats
50002202,Contamination
50104884,Contamination
41374102,Contamination
50058908,Temperature
50102529,Temperature
50074057,Sanitation
50046794,Temperature
40569838,Contamination
41022513,Flies
50090916,Contamination
50110573,Contamination
50070322,Temperature
40510804,Contamination
50037250,Contamination
50071782,Contamination
50085594,Contamination
40364443,Temperature
50056569,Roach
40731196,Temperature
50109360,Rats
50063156,Rats
41241023,Contamination
50065563,Temperature
41654217,Rats
41600457,Contamination
40911114,Contamination
50000256,Contamination
50001118,Temperature
41151163,Contamination
50002271,Temperature
41139066,Temperature
50016488,Temperature
50007212,Contamination
50094357,Quality
50095643,Contamination
50127355,Contamination
50081462,Contamination
50083909,Roach
50120747,Contamination
50060916,Contamination
40399996,Temperature
50000202,Rats
50079524,Rats
50107484,Contamination
41672122,Contamination
41475632,Contamination
50085431,Contamination
50056960,Rats
41467392,Contamination
50048463,Temperature
41444322,Flies
50070093,Sanitation
50091737,Contamination
50077581,Temperature
